as-block:      [mandatory]  [single]     [primary/lookup key]   [20]   [as-block]
descr:         [optional]   [multiple]   [ ]                    [80]   [free-form]
remarks:       [optional]   [multiple]   [ ]                    [80]   [free-form]
tech-c:        [mandatory]  [multiple]   [inverse key]          [30]   [nic-handle]
admin-c:       [mandatory]  [multiple]   [inverse key]          [30]   [nic-handle]
notify:        [optional]   [multiple]   [inverse key]          [80]   [e-mail]
mnt-lower:     [optional]   [multiple]   [inverse key]          [80]   [object-name]
mnt-by:        [mandatory]  [multiple]   [inverse key]          [80]   [object-name]
changed:       [mandatory]  [multiple]   [ ]                    [80]   [changed]
source:        [mandatory]  [single]     [ ]                    [80]   [registry-name]

as-set:        [mandatory]  [single]     [primary/lookup key]   [80]   [as-set]
descr:         [mandatory]  [multiple]   [ ]                    [80]   [free-form]
members:       [optional]   [multiple]   [ ]                    [80]   [members-as]
mbrs-by-ref:   [optional]   [multiple]   [inverse key]          [80]   [mbrs-by-ref]
remarks:       [optional]   [multiple]   [ ]                    [80]   [free-form]
tech-c:        [mandatory]  [multiple]   [inverse key]          [30]   [nic-handle]
admin-c:       [mandatory]  [multiple]   [inverse key]          [30]   [nic-handle]
notify:        [optional]   [multiple]   [inverse key]          [80]   [e-mail]
mnt-by:        [mandatory]  [multiple]   [inverse key]          [80]   [object-name]
changed:       [mandatory]  [multiple]   [ ]                    [80]   [changed]
source:        [mandatory]  [single]     [ ]                    [80]   [registry-name]

aut-num:       [mandatory]  [single]     [primary/lookup key]   [10]   [as-number]
as-name:       [mandatory]  [single]     [ ]                    [80]   [object-name]
descr:         [mandatory]  [multiple]   [ ]                    [80]   [free-form]
member-of:     [optional]   [multiple]   [inverse key]          [80]   [as-set]
import:        [optional]   [multiple]   [ ]                    [80]   [rpsl]
export:        [optional]   [multiple]   [ ]                    [80]   [rpsl]
tun:           [optional]   [multiple]   [ ]                    [80]   [object-name]
default:       [optional]   [multiple]   [ ]                    [80]   [default]
remarks:       [optional]   [multiple]   [ ]                    [80]   [free-form]
admin-c:       [mandatory]  [multiple]   [inverse key]          [30]   [nic-handle]
tech-c:        [mandatory]  [multiple]   [inverse key]          [30]   [nic-handle]
cross-mnt:     [optional]   [multiple]   [inverse key]          [80]   [object-name]
cross-nfy:     [optional]   [multiple]   [inverse key]          [80]   [e-mail]
notify:        [optional]   [multiple]   [inverse key]          [80]   [e-mail]
mnt-lower:     [optional]   [multiple]   [inverse key]          [80]   [object-name]
mnt-routes:    [optional]   [multiple]   [inverse key]          [80]   [object-name]
mnt-by:        [mandatory]  [multiple]   [inverse key]          [80]   [object-name]
changed:       [mandatory]  [multiple]   [ ]                    [80]   [changed]
source:        [mandatory]  [single]     [ ]                    [80]   [registry-name]

domain:        [mandatory]  [single]     [primary/lookup key]   [254]  [domain-name]
descr:         [mandatory]  [multiple]   [ ]                    [80]   [free-form]
admin-c:       [mandatory]  [multiple]   [inverse key]          [30]   [nic-handle]
tech-c:        [mandatory]  [multiple]   [inverse key]          [30]   [nic-handle]
zone-c:        [mandatory]  [multiple]   [inverse key]          [30]   [nic-handle]
nserver:       [optional]   [multiple]   [inverse key]          [254]  [domain-name]
sub-dom:       [optional]   [multiple]   [inverse key]          [254]  [subdomain-name]
dom-net:       [optional]   [multiple]   [ ]                    [20]   [ipv4-address]
remarks:       [optional]   [multiple]   [ ]                    [80]   [free-form]
notify:        [optional]   [multiple]   [inverse key]          [80]   [e-mail]
mnt-by:        [optional]   [multiple]   [inverse key]          [80]   [object-name]
mnt-lower:     [optional]   [multiple]   [inverse key]          [80]   [object-name]
